is_female,age,race,employment_income,interest_dividend_income,pension_income,networth,wgt,transformed_networth
0,74.0,3,1080.9119,1080.9119,127331.414,3302060.0,7842.057050537207,15.703204254662664
0,43.0,3,33508.266,0.0,0.0,20000.0,5144.274593431157,10.596634733721071
0,66.0,1,189159.56,0.0,54045.59,4215000.0,3976.546418914546,15.947307329978052
0,53.0,2,75663.83,0.0,0.0,57000.0,2085.1796664186368,11.64395372745358
0,63.0,1,210777.81,216.18236,0.0,884350.0,9912.603641918153,14.385755371423205
0,81.0,3,0.0,0.0,15132.766,22100.0,3756.0494922466264,10.696480068577657
0,29.0,1,94039.33,0.0,0.0,77300.0,15360.777914850769,11.948596415177295
0,29.0,1,27022.795,0.0,0.0,43100.0,12086.104671383284,11.364425456786366
0,54.0,1,251852.45,4799.2485,21618.236,1563940.0,9527.27809955835,14.9558660167402
0,27.0,4,540455.94,2594.1885,0.0,800610.0,5645.350156056353,14.286276396654964
1,36.0,2,46479.207,0.0,0.0,-197700.0,13452.038431025576,-12.88765318972505
0,59.0,1,112414.83,0.0,0.0,276830.0,10863.762434268196,13.2243060589189
1,37.0,2,108091.18,0.0,0.0,745400.0,6420.0817081524965,14.21482344658769
0,52.0,1,61611.973,875.5386,0.0,623100.0,10232.542660795129,14.035609479092903
1,32.0,1,14051.854,0.0,0.0,-24470.0,9753.131459249342,-10.798350337414178
0,84.0,1,0.0,21618236.0,60531.062,2115394200.0,7.448248253348557,22.16565419561617
0,43.0,1,216182.36,0.0,0.0,532080.0,7226.748674443537,13.877696313519133
1,65.0,1,48641.03,0.0,0.0,87000.0,10264.844680924756,12.066810578229695
1,55.0,2,0.0,0.0,11890.03,43230.0,1509.8082205898,11.367437158355395
0,55.0,1,183755.02,47235.848,0.0,10104000.0,675.1779797142136,16.821589123572412
1,55.0,4,0.0,0.0,0.0,537300.0,2412.180475815514,13.887459057277724
0,23.0,1,37831.914,0.0,0.0,-16400.0,16309.496634160949,-10.398183795301742
0,45.0,2,113495.74,0.0,0.0,-103930.0,2723.063081098267,-12.244620055165557
0,31.0,4,125385.77,0.0,0.0,11340.0,7833.063805293976,10.029238759785768
0,31.0,1,48641.03,799.87476,0.0,85040.0,2436.5547674250915,12.044024193610344
0,56.0,2,59450.15,0.0,0.0,136625.0,11264.588355355234,12.518142406052178
0,81.0,1,0.0,285360.72,84311.125,40841100.0,54.14832186577314,18.21834666583602
0,62.0,4,155651.3,0.0,0.0,3272100.0,1365.2258441328845,15.694089719144912
0,56.0,2,0.0,0.0,9403.933,-117399.0,2028.581101764421,-12.366480849030376
0,65.0,1,485329.4,39020.918,19456.412,6353200.0,3617.405350225319,16.357616361503087
0,46.0,1,5404559.0,221586.92,0.0,21251000.0,520.5587976127093,17.565061691610943
0,41.0,1,594501.5,16970.316,0.0,2872000.0,4855.09213781786,15.563666389710228
0,74.0,1,31346.443,47560.12,157596.94,2284000.0,3520.075016684075,15.33458603031803
0,80.0,3,19456.412,0.0,15132.766,302600.0,6119.03562004999,13.313314260899068
0,70.0,1,50802.855,8734848.0,0.0,568254000.0,45.29613763628172,20.8512262403874
0,34.0,4,342649.06,1297.0942,0.0,978760.0,1263.6545313509068,14.487188923908828
1,67.0,1,0.0,0.0,184835.92,4123000.0,1238.0672375588388,15.925238792248996
0,41.0,2,75663.83,0.0,6485.4707,14210.0,7097.8054934928205,10.25484840288918
1,56.0,4,36751.004,0.0,0.0,1210300.0,841.3754775251728,14.699526001286811
0,36.0,1,0.0,7350.2,0.0,11098646.0,452.0994207421204,16.91548085742012
0,79.0,1,0.0,8820.24,54045.59,1122500.0,7994.998078906504,14.62421607915869
1,61.0,2,0.0,0.0,0.0,0.0,1717.7217270856788,0.0
0,65.0,1,0.0,0.0,54045.59,262900.0,17635.45013734716,13.172676191281536
1,86.0,1,0.0,399.93738,73502.01,1393000.0,12066.714851748877,14.840117433322018
0,34.0,3,10809.118,0.0,0.0,25900.0,3797.342961340265,10.855145428620258
